Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content TypeAbstract,Title-fixec,Authors-fixed
"Driving Full Speed, Eyes on the Rear-View Mirror",Journeys to Data Mining,,,,10.1007/978-3-642-28047-4_6,John F. Elder IV,2012,http://link.springer.com/chapter/10.1007/978-3-642-28047-4_6,Chapter,"Learning from data is virtually universally useful. Master it and you will be welcomed nearly everywhere! Looking back, my own strange path into data mining effectiveness was guided as much by setbacks as successes. In the end, the answer is found by and through serving others.",John F. ElderIV,
Agent-Based Simulation of Holocene Monsoon Precipitation Patterns and Hunter-Gatherer Population Dynamics in Semi-arid Environments,Journal of Archaeological Method and Theory,,21,2,10.1007/s10816-014-9203-1,A. L. BalboX. Rubio-CampilloB. RondelliM. Ram rezC. LancelottiA. TorranoM. SalpeteurN. LipovetzkyV. Reyes-Garc aC. Monta olaM. Madella,2014,http://link.springer.com/article/10.1007/s10816-014-9203-1,Article,"Based on archaeological evidence from Kutch-Saurashtra (N Gujarat, NW India), we use agent-based modelling (ABM) to explore the persistence of hunter-gatherer (HG) groups in semi-arid environments in the mid and late Holocene. Agents interact within a realistic semi-arid environment dominated by the monsoon. Precipitation trends are modelled from instrumental records (1871-2008) calibrated with existing models for the Asian monsoon in the Holocene (c. 12 ka-present). Experiments aim at exploring dependencies between population dynamics and climate-driven environmental change (in terms of resource availability) for precipitation patterns at the local, regional and continental scales. Resources are distributed across a simplified ground model. Average yearly precipitation (AYP, i.e. mean) and variance in yearly precipitation (VYP, i.e. standard deviation) are the main parameters affecting resource availability in the simulations. We assess the effects of environmental change on HG populations at different timescales: (1) patterns of seasonal (inter-annual) resource availability, (2) effects of changes in mean precipitation trends over the long (Pleistocene-Holocene) and the mid (Holocene, millennial) periods, and (3) effects of intra-annual precipitation variability, i.e. changes in standard deviation from mean precipitation trends over the short period (annual to decadal). Simulations show that (1) strong seasonality is coherent with the persistence of HG populations in India, independently of the geographical scale of the precipitation models, (2) changes in AYP over the mid period (Holocene) are not sufficient to explain the disappearance of HG populations in Kutch-Saurashtra (K-S) 4 ka and (3) precipitation variability (VYP) over the short period (annual to decadal) is the main parameter affecting population performance and overall ecosystem dynamics. To date, sufficiently refined palaeoclimatic records do not exist for the study area, but higher VYP values 4 ka do not exclude the possibility that other factors may have driven the disappearance of HG populations in Kutch-Saurashtra.","A. L. Balbo, X. Rubio-Campillo, B. Rondelli, M. Ram rez, C. Lancelotti, A. Torrano, M. Salpeteur, N. Lipovetzky, V. Reyes-Garc a, C. Monta ola, M. Madella",Agent-Based Simulation of Holocene Monsoon Precipitation Patterns and Hunter-Gatherer Population Dynamics in Semi-arid Environments
GLYCO 22 XXII International Symposium on Glycoconjugates,Glycoconjugate Journal,,30,4,10.1007/s10719-013-9474-x,,2013,http://link.springer.com/article/10.1007/s10719-013-9474-x,Article,,,GLYCO 22 XXII International Symposium on Glycoconjugates
"Fuzzy Logic Approach for Spatially Variable Nitrogen Fertilization of Corn Based on Soil, Crop and Precipitation Information",Computational Science and Its Applications - ICCSA 2011,,,,10.1007/978-3-642-21928-3_25,Yacine BouroubiNicolas TremblayPhilippe VigneaultCarl BélecBernard PannetonSerge Guillaume,2011,http://link.springer.com/chapter/10.1007/978-3-642-21928-3_25,Chapter,"A fuzzy Inference System (FIS) was developed to generate recommendations for spatially variable applications of nitrogen (N) fertilizer using soil, plant and precipitation information. Experiments were conducted over three seasons (2005-2007) to assess the effects of soil electrical conductivity (ECa), nitrogen sufficiency index (NSI), and precipitations received in the vicinity of N fertilizers application, on response to N measured at mid-season growth. Another experiment was conducted in 2010 to understand the effect of water supply (WS) on response to N, using a spatially variable irrigation set-up. Better responses to N were observed in the case of high ECa, low NSI and high WS. In the opposite cases (low ECa, high NSI or low WS), nitrogen fertilizer rates can be reduced. Using fuzzy logic, expert knowledge was formalized as a set of rules involving ECa, NSI and cumulative precipitations to estimate economically optimal N rates (EONR).","Yacine Bouroubi, Nicolas Tremblay, Philippe Vigneault, Carl Bélec, Bernard Panneton, Serge Guillaume",
ECR 2011 Book of Abstracts - B - Scientific Sessions,Insights into Imaging,,2,1,10.1007/s13244-011-0077-4,,2011,http://link.springer.com/article/10.1007/s13244-011-0077-4,Article,,,ECR 2011 Book of Abstracts - B - Scientific Sessions
Abstracts,Der Pathologe,,38,1,10.1007/s00292-017-0295-8,,2017,http://link.springer.com/article/10.1007/s00292-017-0295-8,Article,,,Abstracts
Rekonstruktion von Software-Architekturen,Informatik - Forschung und Entwicklung,,19,3,10.1007/s00450-005-0180-1,Rainer Koschke,2005,http://link.springer.com/article/10.1007/s00450-005-0180-1,Article,"Software-Architekturen werden aus verschiedenen Sichten beschrieben, die abhängig von den Anliegen sind, die mit der Beschreibung verfolgt werden. In vielen Fällen ist die Software-Architektur eines Systems nicht ausreichend beschrieben. Sichten müssen dann rekonstruiert werden, um für Planung von Änderungen zur Verfügung zu stehen.",Rainer Koschke,Rekonstruktion von Software-Architekturen
"Application of different clustering approaches to hydro-climatological catchment regionalization in mountainous regions, a case study in Utah State",Journal of Mountain Science,,,,10.1007/s11629-017-4454-4,Elnaz SharghiVahid NouraniSaeed SoleimaniFahreddin Sadikoglu,2018,http://link.springer.com/article/10.1007/s11629-017-4454-4,Article,"With respect to the different hydrological responses of catchments, even the adjacent ones, in mountainous regions, there are a great number of motivations for classifying them into homogeneous clusters. These motivations include prediction in ungauged basins (PUB), model parameterization, understanding the potential impact of environmental changes, transferring information from gauged catchments to the ungauged ones. The present study investigated the similarity of catchments through the hydro-climatological pure time-series of a 14-year period from 2001 to 2015. Data sets encompass more than 13,000 month-station streamflow, rainfall, and temperature data obtained from 27 catchments in Utah State as one of the eight mountainous states of the USA. The identification, analysis, and interpretation of homogeneous catchments were investigated by applying the four approaches of clustering, K-means, Ward, and SOM (Self-Organized Map) and a newly proposed Wavelet-Entropy-based (WE-SOM) clustering method. By using two clustering evaluation criteria, 3, 5, and 6 clusters were determined as the best numbers of clusters, depending on the method employed, where each cluster represents different hydro-climatological behaviors. Despite the absence of geographic characteristics in input data matrix, the results indicated a regionalization in agreement with topographic characteristics. Considering the dependency of the hydrological behavior of catchments on the physiographic field aspects and characteristics, WE-SOM method demonstrated a more acceptable performance, compared to the other three conventional clustering methods, by providing more clusters. WE-SOM appears to be a promising approach in catchment clustering. It preserves the topological structure of data which can, as a result, be proofed in a greater number of clusters by dividing data into higher numbers of distinct clusters with similar altitudes of catchments in each cluster. The results showed the aptitude of wavelets to quantify the time-based variability of temperature, rainfall and streamflow, in the way contributing to the regionalization of diverse catchments.","Elnaz Sharghi, Vahid Nourani, Saeed Soleimani, Fahreddin Sadikoglu","Application of different clustering approaches to hydro-climatological catchment regionalization in mountainous regions, a case study in Utah State"
WaterVis: GeoVisual Analytics for Exploring Hydrological Data,Highlighting the Importance of Big Data Management and Analysis for Various Applications,,,,10.1007/978-3-319-60255-4_12,Mahshid MarboutiRahul BhaskarZahra Shakeri Hossein AbadCraig AnslowLeland JacksonFrank Maurer,2018,http://link.springer.com/chapter/10.1007/978-3-319-60255-4_12,Chapter,"Visualizing and analyzing large amounts of environmental and hydrological data on maps is difficult. Interaction and manipulation of data is crucial for decision making during natural disasters like floods. In this paper we present WaterVis: a geovisual Big Data analytics application to help analysts explore large amounts of hydrological data to create early flood warnings, and make strategic decisions in critical situations. The implications of WaterVis can help inform the design of future Big Data analytics applications.","Mahshid Marbouti, Rahul Bhaskar, Zahra Shakeri Hossein Abad, Craig Anslow, Leland Jackson, Frank Maurer",
Mining Serial Episode Rules with Time Lags over Multiple Data Streams,Data Warehousing and Knowledge Discovery,,,,10.1007/978-3-540-85836-2_22,Tung-Ying LeeEn Tzu WangArbee L. P. Chen,2008,http://link.springer.com/chapter/10.1007/978-3-540-85836-2_22,Chapter,"The problem of discovering episode rules from static databases has been studied for years due to its wide applications in prediction. In this paper, we make the first attempt to study a special episode rule, named serial episode rule with a time lag in an environment of multiple data streams. This rule can be widely used in different applications, such as traffic monitoring over multiple car passing streams in highways. Mining serial episode rules over the data stream environment is a challenge due to the high data arrival rates and the infinite length of the data streams. In this paper, we propose two methods considering different criteria on space utilization and precision to solve the problem by using a prefix tree to summarize the data streams and then traversing the prefix tree to generate the rules. A series of experiments on real data is performed to evaluate the two methods.","Tung-Ying Lee, En Tzu Wang, Arbee L. P. Chen",
INTERNATIONAL SOCIETY OF PHARMACOVIGILANCE,Drug Safety,,36,9,10.1007/s40264-013-0087-x,,2013,http://link.springer.com/article/10.1007/s40264-013-0087-x,Article,,,INTERNATIONAL SOCIETY OF PHARMACOVIGILANCE
Neurology and Neurolinguistics,Machine Learning of Natural Language,,,,10.1007/978-1-4471-1697-4_7,"David M. W. Powers ThC(Hons), PhD, MACS, MIEEEChristopher C. R. Turk MA (Cantab), DPhil (Sussex)",1989,http://link.springer.com/chapter/10.1007/978-1-4471-1697-4_7,Chapter,"We come now to an overview of the anatomical and physiological evidence, and the neurological models which underlie and motivate the research we described earlier. We start with the brain, its organization and connection. The most accessible parts of the brain for physiological investigation are those which are directly sensory-motor related. These therefore form the focus of our brief neuroanatomical tour.","David M. W. Powers, Christopher C. R. Turk",
"30th Annual San Antonio Breast Cancer Symposium   December 13 16, 2007",Breast Cancer Research and Treatment,,106,1,10.1007/s10549-007-9793-3,,2007,http://link.springer.com/article/10.1007/s10549-007-9793-3,Article,,,"30th Annual San Antonio Breast Cancer Symposium   December 13 16, 2007"
Catalogue of Minor Planet Names and Discovery Circumstances Addendum 2012 2014,Dictionary of Minor Planet Names,,,,10.1007/978-3-319-17677-2_2,Dr. Lutz D. Schmadel,2015,http://link.springer.com/chapter/10.1007/978-3-319-17677-2_2,Chapter,"Title page of Giuseppe Piazzi's book ""On the discovery of the new planet CERES FERDINANDEA, the eighth of those known in our solar system"". The vignette, against the background of the Monte pelegrini and the city of Palermo, shows an angel observing the goddess Ceres sitting in a carriage drawn by two snakes. The inscription on the telescope ""CERES ADDITA COELI"" (Ceres was added to the heavens) celebrates this epoch-making discovery of the first of the minor planets.",Lutz D. Schmadel,
Abstracts,Journal of Molecular Neuroscience,,51,1,10.1007/s12031-012-9923-1,,2013,http://link.springer.com/article/10.1007/s12031-012-9923-1,Article,,,Abstracts
Structural Genomics of Pathogenic Protozoa: an Overview,Structural Proteomics,,,,10.1007/978-1-60327-058-8_33,Erkang FanDavid BakerStanley FieldsMichael H. GelbFrederick S. BucknerWesley C. Van VoorhisEric PhizickyMark DumontChristopher MehlinElizabeth GrayhackMark SullivanChristophe VerlindeGeorge DeTittaDeirdre R. MeldrumEthan A. MerrittThomas Earnest,2008,http://link.springer.com/protocol/10.1007/978-1-60327-058-8_33,Protocol,"The Structural Genomics of Pathogenic Protozoa (SGPP) Consortium aimed to determine crystal structures of proteins from trypanosomatid and malaria parasites in a high throughput manner. The pipeline of target selection, protein production, crystallization, and structure determination, is sketched. Special emphasis is given to a number of technology developments including domain prediction, the use of ""co-crystallants,"" and capillary crystallization. ""Fragment cocktail crystallography"" for medical structural genomics is also described.","Erkang Fan, David Baker, Stanley Fields, Michael H. Gelb, Frederick S. Buckner, Wesley C. Van Voorhis, Eric Phizicky, Mark Dumont, Christopher Mehlin, Elizabeth Grayhack, Mark Sullivan, Christophe Verlinde, George DeTitta, Deirdre R. Meldrum, Ethan A. Merritt, Thomas Earnest, Michael Soltis, Frank Zucker, Peter J. Myler, Lori Schoenfeld, David Kim, Liz Worthey, Doug LaCount, Marissa Vignali, Jizhen Li, Somnath Mondal, Archna Massey, Brian Carroll, Stacey Gulde, Joseph Luft, Larry DeSoto, Mark Holl, Jonathan Caruthers, Jürgen Bosch, Mark Robien, Tracy Arakaki, Margaret Holmes, Isolde Le Trong, Wim G. J. Hol",
Information and Entropy,Data Mining Algorithms in C++,,,,10.1007/978-1-4842-3315-3_1,Timothy Masters,2018,http://link.springer.com/chapter/10.1007/978-1-4842-3315-3_1,Chapter,"The essence of data mining is the discovery of relationships among variables that we have measured. Throughout this book we will explore many ways to find, present, and capitalize on such relationships. In this chapter, we focus primarily on a specific aspect of this task: evaluating and perhaps improving the information content of a measured variable. What is information? This term has a rigorously defined meaning, which we will now pursue.",Timothy Masters,
Abstract,Breast Cancer Research and Treatment,,100,1,10.1007/s10549-006-5678-0,,2006,http://link.springer.com/article/10.1007/s10549-006-5678-0,Article,,,Abstract
E,StarBriefs Plus,,,,10.1007/978-0-306-48603-6_5,André Heck,2004,http://link.springer.com/chapter/10.1007/978-0-306-48603-6_5,Chapter,,André Heck,
Abstracts,Annals of Behavioral Medicine,,43,1,10.1007/s12160-012-9354-9,,2012,http://link.springer.com/article/10.1007/s12160-012-9354-9,Article,,,Abstracts
Possibilistic AIRS induction from uncertain data,Soft Computing,,20,1,10.1007/s00500-015-1627-3,Rim HentechIlyes JenhaniZied Elouedi,2016,http://link.springer.com/article/10.1007/s00500-015-1627-3,Article,"This paper presents a new approach in machine learning, especially, in supervised classification and reasoning under uncertainty. For many classification problems, uncertainty is often inherent in modeling applications and should be treated carefully and not rejected to make better decisions. Artificial immune recognition system (AIRS) is a well-known classifier that has provided good results with certain data. However, this method is not able to cope with uncertainty. To overcome this limitation, we propose a new classification approach combining the AIRS and possibility theory. The new approach is allowing to deal with uncertain attribute and also class values of training instances. The uncertainty is expressed via possibility distributions. Experimentations on real datasets from the U.C.I machine learning repository show good performances of the proposed approach.","Rim Hentech, Ilyes Jenhani, Zied Elouedi",Possibilistic AIRS induction from uncertain data
Technologies for Discovery of Biomarkers,The Handbook of Biomarkers,,,,10.1007/978-1-4939-7431-3_2,Kewal K. Jain,2017,http://link.springer.com/chapter/10.1007/978-1-4939-7431-3_2,Chapter,Biomarkers are present in all parts of the body including body fluids and tissues. Most of the clinical laboratory examinations are done on body fluids such as blood and urine. Biomarkers can be detected on imaging studies or examination of body tissues. Even exhaled breath contains biomarkers. A wide range of technologies is utilized for detection of biomarkers and a number of assays are already available.,Kewal K. Jain,
An Asymmetric Criterion for Cluster Validation,Developing Concepts in Applied Intelligence,,,,10.1007/978-3-642-21332-8_1,Hosein AlizadehBehrouz MinaeiHamid ParvinMohsen Moshki,2011,http://link.springer.com/chapter/10.1007/978-3-642-21332-8_1,Chapter,"Many stability measures to validate a cluster have been proposed such as Normalized Mutual Information. The drawback of the common approach is discussed in this paper and then a new asymmetric criterion is proposed to assess the association between a cluster and a partition which is called Alizadeh-Parvin-Moshki-Minaei criterion, APMM. The APMM criterion compensates the drawback of the common Normalized Mutual Information (NMI) measure. Also, a clustering ensemble method is proposed which is based on aggregating a subset of primary clusters. This method uses the Average APMM as fitness measure to select a number of clusters. The clusters which satisfy a predefined threshold of the mentioned measure are selected to participate in the clustering ensemble. To combine the chosen clusters, a co-association based consensus function is employed. Since the Evidence Accumulation Clustering, EAC, method cannot derive the co-association matrix from a subset of clusters, a new EAC based method which is called Extended EAC, EEAC, is employed to construct the co-association matrix from the chosen subset of clusters. The empirical studies show that the proposed method outperforms other ones.","Hosein Alizadeh, Behrouz Minaei, Hamid Parvin, Mohsen Moshki",
Fog Research: A Review of Past Achievements and Future Perspectives,Fog and Boundary Layer Clouds: Fog Visibility and Forecasting,,,,10.1007/978-3-7643-8419-7_3,I. GultepeR. TardifS.C. MichaelidesJ. CermakA. BottJ. BendixM.D. MüllerM. PagowskiB. HansenG. EllrodW. JacobsG. TothS.G. Cober,2007,http://link.springer.com/chapter/10.1007/978-3-7643-8419-7_3,Chapter,"The scientific community that includes meteorologists, physical scientists, engineers, medical doctors, biologists, and environmentalists has shown interest in a better understanding of fog for years because of its effects on, directly or indirectly, the daily life of human beings. The total economic losses associated with the impact of the presence of fog on aviation, marine and land transportation can be comparable to those of tornadoes or, in some cases, winter storms and hurricanes. The number of articles including the word ""fog"" in Journals of American Meteorological Society alone was found to be about 4700, indicating that there is substantial interest in this subject. In spite of this extensive body of work, our ability to accurately forecast/nowcast fog remains limited due to our incomplete understanding of the fog processes over various time and space scales. Fog processes involve droplet microphysics, aerosol chemistry, radiation, turbulence, large/small-scale dynamics, and surface conditions (e.g., partaining to the presence of ice, snow, liquid, plants, and various types of soil). This review paper summarizes past achievements related to the understanding of fog formation, development and decay, and in this respect, the analysis of observations and the development of forecasting models and remote sensing methods are discussed in detail. Finally, future perspectives for fog-related research are highlighted.","I. Gultepe, R. Tardif, S.C. Michaelides, J. Cermak, A. Bott, J. Bendix, M.D. Müller, M. Pagowski, B. Hansen, G. Ellrod, W. Jacobs, G. Toth, S.G. Cober",
Fog Research: A Review of Past Achievements and Future Perspectives,Pure and Applied Geophysics,,164,6 - 7,10.1007/s00024-007-0211-x,I. GultepeR. TardifS. C. MichaelidesJ. CermakA. BottJ. BendixM. D. MüllerM. PagowskiB. HansenG. EllrodW. JacobsG. TothS. G. Cober,2007,http://link.springer.com/article/10.1007/s00024-007-0211-x,Article,"The scientific community that includes meteorologists, physical scientists, engineers, medical doctors, biologists, and environmentalists has shown interest in a better understanding of fog for years because of its effects on, directly or indirectly, the daily life of human beings. The total economic losses associated with the impact of the presence of fog on aviation, marine and land transportation can be comparable to those of tornadoes or, in some cases, winter storms and hurricanes. The number of articles including the word   fog'' in Journals of American Meteorological Society alone was found to be about 4700, indicating that there is substantial interest in this subject. In spite of this extensive body of work, our ability to accurately forecast/nowcast fog remains limited due to our incomplete understanding of the fog processes over various time and space scales. Fog processes involve droplet microphysics, aerosol chemistry, radiation, turbulence, large/small-scale dynamics, and surface conditions (e.g., partaining to the presence of ice, snow, liquid, plants, and various types of soil). This review paper summarizes past achievements related to the understanding of fog formation, development and decay, and in this respect, the analysis of observations and the development of forecasting models and remote sensing methods are discussed in detail. Finally, future perspectives for fog-related research are highlighted.","I. Gultepe, R. Tardif, S. C. Michaelides, J. Cermak, A. Bott, J. Bendix, M. D. Müller, M. Pagowski, B. Hansen, G. Ellrod, W. Jacobs, G. Toth, S. G. Cober",Fog Research: A Review of Past Achievements and Future Perspectives
Abstracts,Der Pathologe,,36,1,10.1007/s00292-015-0028-9,,2015,http://link.springer.com/article/10.1007/s00292-015-0028-9,Article,,,Abstracts
Abstract,Annals of Behavioral Medicine,,41,1,10.1007/s12160-011-9263-3,,2011,http://link.springer.com/article/10.1007/s12160-011-9263-3,Article,,,Abstract
"Joint Congress of European Neurology 31 May 3 June 2014 Istanbul, Turkey",Journal of Neurology,,261,1,10.1007/s00415-014-7337-4,,2014,http://link.springer.com/article/10.1007/s00415-014-7337-4,Article,,,"Joint Congress of European Neurology 31 May 3 June 2014 Istanbul, Turkey"
Self Organising Maps on Compute Unified Device Architecture for the Performance Monitoring of Emergency Call-Taking Centre,Transactions on Computational Science XXI,,,,10.1007/978-3-642-45318-2_15,V clav Sn  elPetr KlementPetr Gajdo Ajith Abraham,2013,http://link.springer.com/chapter/10.1007/978-3-642-45318-2_15,Chapter,"The collaborative emergency call-taking information system in the Czech Republic forms a network of cooperating emergency call centers processing emergency calls to the European 112 emergency number. Large amounts of various incident records are stored in the databases. The data can be used for mining spatial and temporal anomalies, as well as for the monitoring and analysis of the performance of the emergency call- taking system. In this paper, we describe a method for knowledge discovery and visualization targeted at the performance analysis of the system with respect to the organization of the emergency call-taking information system and its data characteristics. The method is based on the Kohonen Self-Organising Map (SOM) algorithm and its extension, the Growing Grid algorithm. To handle the massive data, the growing grid algorithm is implemented in a parallel environment using compute unified device architecture. Experimental results illustrate that the proposed method is very efficient.","V clav Sn  el, Petr Klement, Petr Gajdo , Ajith Abraham",
H,StarBriefs Plus,,,,10.1007/978-0-306-48603-6_8,André Heck,2004,http://link.springer.com/chapter/10.1007/978-0-306-48603-6_8,Chapter,,André Heck,
Abstract Medizinische Genetik 2011,medizinische genetik,,23,1,10.1007/s11825-011-0264-1,,2011,http://link.springer.com/article/10.1007/s11825-011-0264-1,Article,,,Abstract Medizinische Genetik 2011
"Twenty-second Meeting of the European Neurological Society 9 12 June, 2012 Prague, Czech Republic",Journal of Neurology,,259,1,10.1007/s00415-012-6524-4,,2012,http://link.springer.com/article/10.1007/s00415-012-6524-4,Article,,,"Twenty-second Meeting of the European Neurological Society 9 12 June, 2012 Prague, Czech Republic "
Analyzing the Metabolome,Clinical Bioinformatics,,,,10.1007/978-1-4939-0847-9_3,Francis G. BowlingMervyn Thomas,2014,http://link.springer.com/protocol/10.1007/978-1-4939-0847-9_3,Protocol,"Metabolites, the chemical entities that are transformed during metabolism, provide a functional readout of cellular biochemistry that offers the best prediction of the phenotype and the nature of a disease. Mass spectrometry now allows thousands of metabolites to be quantitated. The targeted or untargeted data from metabolic profiling can be combined with either supervised or unsupervised approaches to improve interpretation. These sophisticated statistical techniques are computationally intensive. This chapter reviews techniques applicable to metabolomics approaches to disease.","Francis G. Bowling, Mervyn Thomas",
SPR 2017,Pediatric Radiology,,47,1,10.1007/s00247-017-3809-x,,2017,http://link.springer.com/article/10.1007/s00247-017-3809-x,Article,,,SPR 2017
Scientific Sessions,European Radiology Supplements,,17,1,10.1007/s10406-007-0214-9,,2007,http://link.springer.com/article/10.1007/s10406-007-0214-9,Article,,,Scientific Sessions
"Abstracts presented at the 12th International Congress on Amino Acids, Peptides and Proteins",Amino Acids,,41,1,10.1007/s00726-011-0955-6,,2011,http://link.springer.com/article/10.1007/s00726-011-0955-6,Article,,,"Abstracts presented at the 12th International Congress on Amino Acids, Peptides and Proteins"
GLYCO 23 XXIII International Symposium on Glycoconjugates,Glycoconjugate Journal,,32,5,10.1007/s10719-015-9596-4,,2015,http://link.springer.com/article/10.1007/s10719-015-9596-4,Article,,,GLYCO 23 XXIII International Symposium on Glycoconjugates
Toward Spatio-Temporal Patterns,Spatio-Temporal Databases,,,,10.1007/978-3-662-09968-1_3,Martin Erwig,2004,http://link.springer.com/chapter/10.1007/978-3-662-09968-1_3,Chapter,"Our world is changing at an increasing pace causing the validity intervals of information to shrink. Therefore, the change of information becomes important information itself an important information resource that should be exploitable by query languages. In particular, information about the position and extent of objects is of high interest in many areas of science and elsewhere (vehicle tracking, history, security, health care, ecology, weather prediction, urban planning, and so on). In all these areas relevant information has to be extracted from huge data sets. Beyond data mining that often serves the purpose of identifying interesting objects in spatial or spatiotemporal data sets, queries are of interest that find out about relationships between objects once they have been identified. In the realm of spatiotemporal databases this means to find out, in particular, about the changes that objects and their relationships undergo. Moreover, many applications require not only the detection of one single change, but rather look for sequences of changes describing particular developments.",Martin Erwig,
Scientific Programme   Abstracts,European Radiology,,13,1,10.1007/BF03323651,,2003,http://link.springer.com/article/10.1007/BF03323651,Article,,,Scientific Programme   Abstracts
The Digital Archive of Buddhist Temple Gazetteers and Named Entity Recognition (NER) in classical Chinese,Lingua Sinica,,1,1,10.1186/s40655-015-0007-3,Marcus Bingenheimer,2015,http://link.springer.com/article/10.1186/s40655-015-0007-3,Article,"The identification of names and dates in larger corpora of historical texts is important for both traditional and digitally mediated research; it is part of reading as well as of exploring digital corpora. This paper is an introduction to a number of issues concerning named entity recognition (NER) for classical Chinese. In particular it introduces the ""Digital Archive of Buddhist Temple Gazetteers"" (http://buddhistinformatics.ddbc.edu.tw/fosizhi/), as a benchmark corpus for NER on classical Chinese and illustrates how marked-up corpora can provide answers to question that could not otherwise be addressed. The ""Digital Archive of Buddhist Temple Gazetteers"" is an open source and access archive of local histories of Chinese Buddhist sites. Names and dates were encoded with XML/TEI and associated with authority databases. The archive, which contains classical texts in a variety of genres, can serve as testing data for experiments in NER and POS tagging. The data is made available as part of the article.",Marcus Bingenheimer,The Digital Archive of Buddhist Temple Gazetteers and Named Entity Recognition (NER) in classical Chinese
Lifted graphical models: a survey,Machine Learning,,99,1,10.1007/s10994-014-5443-2,Angelika KimmigLilyana MihalkovaLise Getoor,2015,http://link.springer.com/article/10.1007/s10994-014-5443-2,Article,"Lifted graphical models provide a language for expressing dependencies between different types of entities, their attributes, and their diverse relations, as well as techniques for probabilistic reasoning in such multi-relational domains. In this survey, we review a general form for a lifted graphical model, a par-factor graph, and show how a number of existing statistical relational representations map to this formalism. We discuss inference algorithms, including lifted inference algorithms, that efficiently compute the answers to probabilistic queries over such models. We also review work in learning lifted graphical models from data. There is a growing need for statistical relational models (whether they go by that name or another), as we are inundated with data which is a mix of structured and unstructured, with entities and relations extracted in a noisy manner from text, and with the need to reason effectively with this data. We hope that this synthesis of ideas from many different research groups will provide an accessible starting point for new researchers in this expanding field.","Angelika Kimmig, Lilyana Mihalkova, Lise Getoor",Lifted graphical models: a survey
HGM 2010 Programme / Abstract,The HUGO Journal,,4,1,10.1007/s11568-010-9143-0,,2010,http://link.springer.com/article/10.1007/s11568-010-9143-0,Article,,,HGM 2010 Programme / Abstract
Mapping soil organic carbon stocks of northeastern China using expert knowledge and GIS-based methods,Chinese Geographical Science,,27,4,10.1007/s11769-017-0869-7,Xiaodong SongFeng LiuBing JuJunjun ZhiDecheng LiYuguo ZhaoGanlin Zhang,2017,http://link.springer.com/article/10.1007/s11769-017-0869-7,Article,"The main aim of this paper was to calculate soil organic carbon stock (SOCS) with consideration of the pedogenetic horizons using expert knowledge and GIS-based methods in northeastern China. A novel prediction process was presented and was referred to as model-then-calculate with respect to the variable thicknesses of soil horizons (MCV). The model-then-calculate with fixed-thickness (MCF), soil profile statistics (SPS), pedological professional knowledge-based (PKB) and vegetation type-based (Veg) methods were carried out for comparison. With respect to the similar pedological information, nine common layers from topsoil to bedrock were grouped in the MCV. Validation results suggested that the MCV method generated better performance than the other methods considered. For the comparison of polygon based approaches, the Veg method generated better accuracy than both SPS and PKB, as limited soil data were incorporated. Additional prediction of the pedogenetic horizons within MCV benefitted the regional SOCS estimation and provided information for future soil classification and understanding of soil functions. The intermediate product, that is, horizon thickness maps were fluctuant enough and reflected many details in space. The linear mixed model indicated that mean annual air temperature (MAAT) was the most important predictor for the SOCS simulation. The minimal residual of the linear mixed models was achieved in the vegetation type-based model, whereas the maximal residual was fitted in the soil type-based model. About 95% of SOCS could be found in Argosols, Cambosols and Isohumosols. The largest SOCS was found in the croplands with vegetation of Triticum aestivum L., Sorghum bicolor (L.) Moench, Glycine max (L.) Merr., Zea mays L. and Setaria italica (L.) P. Beauv.","Xiaodong Song, Feng Liu, Bing Ju, Junjun Zhi, Decheng Li, Yuguo Zhao, Ganlin Zhang",Mapping soil organic carbon stocks of northeastern China using expert knowledge and GIS-based methods
Abstracts of the 43rd Annual Meeting of the Japanese Society for Neurochemistry,Neurochemical Research,,26,3,10.1023/A:1017375302187,,2001,http://link.springer.com/article/10.1023/A%3A1017375302187,Article,,,Abstracts of the 43rd Annual Meeting of the Japanese Society for Neurochemistry
